shapeid,lon,lat,Provider N,Network,Facility N,Address Li,City,State,Zip,County,Chain Orga,Profit or,Certificat,# of Dialy,Offers in-,addrtype,addrlocat
0,-118.3536435,33.9530396,52538,18,DAVITA-INGLEWOOD DIALYSIS,125 E. ARBOR VITAE,INGLEWOOD,CA,90301,LOS ANGELES,DAVITA,Profit,8/15/1977,41,TRUE,premise,ROOFTOP
1,-121.8491238,39.7518613,52553,17,CHICO DIALYSIS CENTER,530 COHASSET ROAD,CHICO,CA,95926,BUTTE,DAVITA,Profit,8/22/1978,20,TRUE,premise,ROOFTOP
2,-119.7580447,34.4435615,52513,18,FMC-SANTA BARBARA COMMUNITY DIALYSIS CENTER,222 PESETAS LANE,SANTA BARBARA,CA,93110,SANTA BARBARA,FRESENIUS MEDICAL CARE,Profit,8/29/1978,14,TRUE,premise,ROOFTOP
3,-122.4318277,37.7842025,52719,17,SAN FRANCISCO DIALYSIS CENTER,1499 WEBSTER STREET,SAN FRANCISCO,CA,94115,SAN FRANCISCO,DAVITA,Profit,6/17/1991,30,TRUE,street_address,ROOFTOP
4,-117.3464781,34.0737569,52817,18,"FMC-RAI-CARE CENTERS OF COLTON, LLC","1275 W. ""C"" STREET",COLTON,CA,92324,SAN BERNARDINO,FRESENIUS MEDICAL CARE,Profit,1/23/1998,20,TRUE,premise,ROOFTOP
5,-118.2510246,33.9024716,552661,18,DAVITA-GATEWAY PLAZA DIALYSIS CENTER,1580 W. ROSECRANS AVENUE,COMPTON,CA,90220,LOS ANGELES,DAVITA,Profit,9/22/2010,16,TRUE,street_address,ROOFTOP
6,-121.6341034,37.1184588,552685,17,SATELLITE DIALYSIS MORGAN HILL,"16060 CAPUTO DRIVE, SUITE 140",MORGAN HILL,CA,95037,SANTA CLARA,SATELLITE DIALYSIS,Non-Profit,11/21/2011,17,TRUE,subpremise,ROOFTOP
7,-121.2818978,37.8829215,53526,17,SAN JOAQUIN GENERAL HOSPITAL,7783 SOUTH FREEDOM ROAD,FRENCH CAMP,CA,95231,SAN JOAQUIN,INDEPENDENT,Non-Profit,8/3/2007,24,TRUE,street_address,RANGE_INTERPOLATED
8,-118.2657271,33.9895118,552793,18,DAVITA-AVALON DIALYSIS,5807 S. AVALON BLVD.,LOS ANGELES,CA,90011,LOS ANGELES,DAVITA,Profit,7/11/2016,24,TRUE,premise,ROOFTOP
9,-122.1589494,38.0486516,52810,17,BENICIA DIALYSIS CENTER,560 FIRST STREET BLDG D103,BENICIA,CA,94510,SOLANO,DAVITA,Profit,6/30/1997,14,TRUE,subpremise,ROOFTOP
10,-122.1262352,37.700337,552633,17,SAN LEANDRO DIALYSIS,15555 EAST 14TH STREET SUITE 520,SAN LEANDRO,CA,94578,ALAMEDA,DAVITA,Profit,12/14/2009,23,TRUE,subpremise,ROOFTOP
11,-121.8406963,37.9995699,52831,17,FMC DIABLO WEST ANTIOCH,2386 BUCHANAN ROAD,ANTIOCH,CA,94509,CONTRA COSTA,FRESENIUS MEDICAL CARE,Profit,6/13/1998,15,TRUE,street_address,ROOFTOP
12,-118.4180247,37.3616966,52836,18,TOIYABE DIALYSIS CENTER,44 TU SU LANE,BISHOP,CA,93514,INYO,INDEPENDENT,Non-Profit,8/10/1998,12,TRUE,street_address,RANGE_INTERPOLATED
13,-121.5002246,38.4816575,552748,17,DCI-MEADOWVIEW DIALYSIS CLINIC,"1545 MEADOWVIEW RD., SUITE 130-180",SACRAMENTO,CA,95832,SACRAMENTO,"DIALYSIS CLINIC, INC.",Non-Profit,3/24/2014,24,TRUE,subpremise,ROOFTOP
14,-117.8317839,33.7460601,552807,18,DAVITA-TUSTIN RANCH DIALYSIS,721 W 1ST STREET,TUSTIN,CA,92780,ORANGE,DAVITA,Profit,1/20/2017,25,TRUE,premise,ROOFTOP
15,-118.1433088,34.0777458,52764,18,FMC-SAN GABRIEL VALLEY PD CLINIC,"1801 W. VALLEY BLVD., SUITE 204",ALHAMBRA,CA,91803,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,4/27/1995,6,FALSE,subpremise,ROOFTOP
16,-117.7228133,33.62617,52808,18,DAVITA-SADDLEBACK DIALYSIS,23141 PLAZA POINTE DRIVE,LAGUNA HILLS,CA,92653,ORANGE,DAVITA,Profit,9/10/1997,25,TRUE,subpremise,ROOFTOP
17,-121.5381154,39.5017289,52876,17,OROVILLE DIALYSIS CLINIC,3012 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,"DIALYSIS CLINIC, INC.",Non-Profit,1/9/2002,15,TRUE,premise,ROOFTOP
18,-118.2984966,33.7905465,552532,18,FMC-SOUTH BAY,1221 W. PACIFIC COAST HIGHWAY,HARBOR CITY,CA,90710,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,9/15/2004,25,TRUE,street_address,RANGE_INTERPOLATED
19,-118.0060011,33.7394456,552598,18,FMC-RAI-GOLDENWEST-WESTMINSTER,15330 GOLDENWEST STREET,WESTMINSTER,CA,92683,ORANGE,FRESENIUS MEDICAL CARE,Profit,4/30/2008,24,TRUE,street_address,ROOFTOP
20,-118.351982,33.9317911,52746,18,DAVITA-AIRPORT SUNRISE DIALYSIS CENTER,11300 HAWTHORNE BLVD,INGLEWOOD,CA,90304,LOS ANGELES,DAVITA,Profit,1/1/1994,25,TRUE,premise,ROOFTOP
21,-119.334132,36.3385141,52771,18,DAVITA-VISALIA AT HOME DIALYSIS,1120 N. CHINOWTH STREET,VISALIA,CA,93291,TULARE,DAVITA,Profit,10/3/1995,0,FALSE,premise,ROOFTOP
22,-117.866419,34.1351722,52820,18,FMC-RAI-W. FOOTHILL BLVD-GLENDORA,120 W. FOOTHILL BLVD.,GLENDORA,CA,91740,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,1/29/1998,32,TRUE,street_address,ROOFTOP
23,-117.574944,34.090928,52855,18,FMC-RANCHO CUCAMONGA,"10532 ACACIA STREET, SUITE B2-B3",RANCHO CUCAMONGA,CA,91730,SAN BERNARDINO,FRESENIUS MEDICAL CARE,Profit,2/7/2000,25,TRUE,subpremise,ROOFTOP
24,-121.4554825,37.7527052,552632,17,SATELLITE DIALYSIS OF TRACY,2156 WEST GRANT LINE ROAD #150,TRACY,CA,95377,SAN JOAQUIN,SATELLITE HEALTHCARE,Non-Profit,10/14/2009,25,TRUE,subpremise,ROOFTOP
25,-117.2694946,33.9159285,552622,18,DAVITA-CANYON SPRINGS DIALYSIS,"22555 ALESSANDRO BLVD., SUITE A",MORENO VALLEY,CA,92553,RIVERSIDE,DAVITA,Profit,5/21/2009,32,TRUE,subpremise,ROOFTOP
26,-122.4075259,37.761684,552809,17,FMC POTRERO AVENUE,626 POTRERO AVE,SAN FRANCISCO,CA,94110,SAN FRANCISCO,FRESENIUS MEDICAL CARE,Profit,5/22/2017,25,TRUE,premise,ROOFTOP
27,-122.1316146,38.2196629,52618,17,FAIRFIELD DIALYSIS CENTER,4660 CENTRAL WAY,FAIRFIELD,CA,94534,SOLANO,DAVITA,Profit,3/29/1985,32,TRUE,premise,ROOFTOP
28,-118.1789831,33.7901724,552579,18,DAVITA-LONG BEACH HARBOR (UCLA) DIALYSIS CENTER,1075 E. PACIFIC COAST HIGHWAY,LONG BEACH,CA,90806,LOS ANGELES,DAVITA,Profit,5/30/2007,12,TRUE,street_address,ROOFTOP
29,-117.2641774,34.0494519,52406,18,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL PEDIATRIC CHRONIC DIALYSIS,"CHILDRENS HOSPITAL 11234 ANDERSON ST., RM. 4219",LOMA LINDA,CA,92354,SAN BERNARDINO,INDEPENDENT,Non-Profit,8/11/1977,5,TRUE,establishment,ROOFTOP
30,-118.0724414,34.1460053,552660,18,DAVITA-PASADENA FOOTHILLS DIALYSIS CENTER,3722 E. COLORADO BLVD.,PASADENA,CA,91107,LOS ANGELES,DAVITA,Profit,9/29/2010,21,TRUE,premise,ROOFTOP
31,-117.670958,34.1012707,552813,18,DAVITA-UPLAND COLONIES DIALYSIS,587 N. MOUNTAIN AVENUE,UPLAND,CA,91786,SAN BERNARDINO,DAVITA,Profit,4/6/2017,25,TRUE,street_address,ROOFTOP
32,-118.197258,33.7668273,52523,18,FMC-LONG BEACH,440 W. OCEAN BLVD.,LONG BEACH,CA,90802,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,8/5/1977,16,TRUE,street_address,ROOFTOP
33,-118.3835842,34.0733332,52837,18,U.S. RENAL CARE WESTSIDE DIALYSIS,300 S. ROBERTSON BLVD.,LOS ANGELES,CA,90048,LOS ANGELES,"US RENAL CARE, INC.",Profit,8/19/1998,24,TRUE,premise,ROOFTOP
34,-117.0861196,32.7071385,52883,18,DAVITA-SAN DIEGO EAST,"292 EUCLID AVENUE, SUITE 100",SAN DIEGO,CA,92114,SAN DIEGO,DAVITA,Profit,5/29/2002,21,TRUE,subpremise,ROOFTOP
35,-117.0685592,32.5742954,52864,18,FMC-SAN YSIDRO DIALYSIS CENTER,3010 DEL SOL BLVD.,SAN DIEGO,CA,92154,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,8/17/2000,20,TRUE,premise,ROOFTOP
36,-117.2621549,33.1932258,52842,18,FMC-BUENA CREEK,950 HACIENDA DRIVE,VISTA,CA,92081,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,3/1/1998,22,TRUE,premise,ROOFTOP
37,-117.1177889,33.1311005,552618,18,DAVITA-SAN MARCOS DIALYSIS CENTER,"2135 MONTIEL ROAD, BLDG. B",SAN MARCOS,CA,92069,SAN DIEGO,DAVITA,Profit,5/20/2009,20,TRUE,subpremise,ROOFTOP
38,-121.0722955,37.7048002,552752,17,SATELLITE HEALTHCARE NORTH MODESTO,"4207 BANGS AVENUE, SUITE 100",MODESTO,CA,95356,STANISLAUS,SATELLITE HEALTHCARE,Non-Profit,3/18/2014,16,TRUE,subpremise,ROOFTOP
39,-122.7053059,38.4422629,52524,17,BMA SANTA ROSA,1020 SECOND STREET,SANTA ROSA,CA,95404,SONOMA,FRESENIUS MEDICAL CARE,Profit,8/18/1977,16,TRUE,premise,ROOFTOP
40,-118.364959,33.9771033,52634,18,FMC-RAI-CENTINELA-INGLEWOOD,1416 CENTINELA AVENUE,INGLEWOOD,CA,90302,LOS ANGELES,FRESENIUS MEDICAL CARE,Profit,11/20/1985,25,TRUE,premise,ROOFTOP
41,-115.545302,32.7716221,52792,18,FMC-IMPERIAL COUNTY,200 WAKE AVENUE,EL CENTRO,CA,92243,IMPERIAL,FRESENIUS MEDICAL CARE,Profit,8/20/1996,36,TRUE,premise,ROOFTOP
42,-121.4552303,38.5520543,52405,17,UC DAVIS MEDICAL CENTER PEDIATRIC,2521 STOCKTON BLVD,SACRAMENTO,CA,95817,SACRAMENTO,INDEPENDENT,Non-Profit,8/3/2016,0,TRUE,premise,ROOFTOP
43,-121.2929448,38.1150415,52753,17,LODI DIALYSIS CENTER,"1610 WEST KETTLEMAN LANE, SUITE D",LODI,CA,95242,SAN JOAQUIN,DAVITA,Profit,10/26/1997,21,TRUE,subpremise,ROOFTOP
44,-119.6246066,36.5736574,52770,17,SELMA DIALYSIS CENTER,2711 CINEMA WAY #111,SELMA,CA,93662,FRESNO,DAVITA,Profit,9/27/1995,16,TRUE,subpremise,ROOFTOP
45,-117.4713385,33.9029833,552627,18,DAVITA-RIVERSIDE PD CENTRAL,"3660 PARK SIERRA, SUITE 108",RIVERSIDE,CA,92505,RIVERSIDE,DAVITA,Profit,4/17/2009,11,FALSE,subpremise,ROOFTOP
46,-121.9745936,37.5497795,52722,17,FMC FREMONT,39505 PASEO PADRE PARKWAY,FREMONT,CA,94538,ALAMEDA,FRESENIUS MEDICAL CARE,Profit,3/6/1992,24,TRUE,premise,ROOFTOP
47,-121.4322185,37.7450588,52814,17,TRACY DIALYSIS CENTER,"425 BEVERLY PLACE, SUITE A",TRACY,CA,95376,SAN JOAQUIN,DAVITA,Profit,10/1/1997,12,TRUE,subpremise,ROOFTOP
48,-117.6991412,34.0878796,552815,18,DAVITA-ONTARIO MILLS DIALYSIS,9142 MONTE VISTA AVENUE,ONTARIO,CA,91761,SAN BERNARDINO,DAVITA,Profit,8/22/2017,25,TRUE,street_address,RANGE_INTERPOLATED
49,-122.1637395,37.7225116,552629,17,SATELLITE DIALYSIS SAN LEANDRO,801 DAVIS STREET,SAN LEANDRO,CA,94577,ALAMEDA,SATELLITE HEALTHCARE,Non-Profit,10/30/2009,24,TRUE,premise,ROOFTOP
50,-122.0683394,37.9805206,52759,17,FMC DIABLO CONCORD,508 CONTRA COSTA BLVD #D,PLEASANT HILL,CA,94523,CONTRA COSTA,FRESENIUS MEDICAL CARE,Profit,1/1/1995,22,TRUE,subpremise,ROOFTOP
51,-121.8378018,38.0019739,52841,17,ANTIOCH DIALYSIS CENTER,3100 DELTA FAIR BLVD,ANTIOCH,CA,94509,CONTRA COSTA,DAVITA,Profit,10/14/1998,20,TRUE,subpremise,ROOFTOP
52,-124.1027575,40.9392619,552658,17,FMC MCKINLEYVILLE,1550 HEARTWOOD DRIVE,MCKINLEYVILLE,CA,95519,HUMBOLDT,FRESENIUS MEDICAL CARE,Profit,10/19/2009,15,TRUE,premise,ROOFTOP
53,-117.0953129,32.6244276,52731,18,FMC-BALBOA MARINA BAY,"630 BAY BLVD., SUITE 101",CHULA VISTA,CA,91910,SAN DIEGO,FRESENIUS MEDICAL CARE,Profit,6/14/1993,31,TRUE,subpremise,ROOFTOP
54,-117.9663223,33.9958895,52879,18,HACIENDA DIALYSIS CENTER,"2020 S. HACIENDA BLVD., SUITE G",HACIENDA HEIGHTS,CA,91745,LOS ANGELES,INDEPENDENT,Profit,12/17/2001,18,TRUE,subpremise,ROOFTOP
55,-117.2899767,34.4813937,52714,18,DESERT CITIES DIALYSIS,12675 HESPERIA ROAD,VICTORVILLE,CA,92392,SAN BERNARDINO,INDEPENDENT,Profit,8/5/1991,30,TRUE,premise,ROOFTOP
56,-118.1392973,33.848316,52539,18,DAVITA-LAKEWOOD DIALYSIS CENTER,4611 SILVA STREET,LAKEWOOD,CA,90712,LOS ANGELES,DAVITA,Profit,7/11/1978,30,TRUE,street_address,ROOFTOP
57,-118.1500065,34.1319618,52619,18,HUNTINGTON DIALYSIS CENTER,806 S. FAIR OAKS AVENUE,PASADENA,CA,91105,LOS ANGELES,"HEMODIALYSIS, INC.",Profit,4/1/1985,48,TRUE,street_address,ROOFTOP
58,-118.0665878,33.8026583,52515,18,LOS ALAMITOS HEMODIALYSIS CENTER,3810 KATELLA AVENUE,LOS ALAMITOS,CA,90720,ORANGE,INDEPENDENT,Profit,8/15/1977,32,TRUE,street_address,ROOFTOP
59,-119.2279016,35.7747765,552818,18,"DELANO KIDNEY CENTER, LLC",1980 CECIL AVENUE,DELANO,CA,93215,KERN,AMERICAN RENAL ASSOCIATES,Profit,11/9/2017,20,TRUE,street_address,ROOFTOP
60,-118.4478247,34.2008998,552844,18,CALANTE DIALYSIS LLC,14434 SHERMAN WAY,VAN NUYS,CA,91405,LOS ANGELES,DAVITA,Profit,10/19/2018,36,TRUE,premise,ROOFTOP
61,-121.8355927,38.4623789,552603,17,JOY OF DIXON DIALYSIS CENTER,1640 NORTH LINCOLN STREET,DIXON,CA,95620,SOLANO,DAVITA,Profit,8/19/2008,11,TRUE,premise,ROOFTOP
62,-121.8270276,37.2519668,52600,17,SATELLITE DIALYSIS SAN JOSE,393 BLOSSOM HILL ROAD SUITE 110,SAN JOSE,CA,95123,SANTA CLARA,SATELLITE HEALTHCARE,Non-Profit,9/14/1984,24,TRUE,subpremise,ROOFTOP
